symptoms,condition,natural_remedy,medicine,advice
"sour taste, heartburn, regurgitation, chest discomfort, bloating",Acid Reflux,ginger tea,ranitidine,Eat smaller meals and avoid lying down after eating
"feelings of hopelessness, persistent sadness, fatigue, loss of interest, sleep changes",Depression Episode,mindfulness meditation; regular aerobic exercise,fluoxetine,Maintain social connections and seek therapy
"throbbing headache, nausea, sensitivity to light",Migraine,peppermint oil on temples,ibuprofen,Rest in a dark quiet room; track triggers
"shortness of breath, fever, fatigue",COVID‑19,hydration,nirmatrelvir‑ritonavir,Self‑isolate and follow local health guidelines
"red eye, itching, discharge, gritty feeling, tearing",Conjunctivitis (Pink Eye),cold compress,lubricating drops,Avoid touching eyes and wash hands frequently
"shakiness, rapid heartbeat, sweating",Hypoglycemia,eat glucose tablets; consume fruit juice,glucose gel,Carry quick sugar and adjust insulin timing
"pain, warmth, swelling, red skin, peeling",Sunburn,cool compress; aloe vera gel,lidocaine spray,Stay hydrated and avoid further sun exposure
"fatigue, persistent cough, mild fever, wheezing",Acute Bronchitis,honey ginger syrup; humidifier use,guaifenesin,Increase fluid intake; avoid cold air
"persistent cough, mild fever, wheezing, fatigue, chest discomfort",Acute Bronchitis,humidifier use; honey ginger syrup,acetaminophen,Increase fluid intake; avoid cold air
"wheezing, persistent cough, chest discomfort",Acute Bronchitis,honey ginger syrup; humidifier use,guaifenesin,Increase fluid intake; avoid cold air
"sore throat, nasal congestion, sneezing, cough, runny nose, mild fever",Common Cold,honey‑lemon tea; steam inhalation,ibuprofen,Rest well and stay hydrated
"dry mouth, thirst, dizziness, dark urine, fatigue",Dehydration,coconut water,IV fluids (if severe),Drink water regularly and avoid excessive heat
"peeling, swelling, pain",Sunburn,cool compress; aloe vera gel,ibuprofen,Stay hydrated and avoid further sun exposure
"constipation, weight gain, cold intolerance, dry skin, fatigue",Hypothyroidism,selenium‑rich foods; regular exercise,levothyroxine,Take medication on empty stomach daily
"redness, dry patches, cracked skin, itchy rash",Eczema (Dermatitis),coconut oil; oatmeal bath,hydrocortisone cream,Moisturize frequently and avoid harsh soaps
"early satiety, upper abdominal discomfort, bloating",Indigestion (Dyspepsia),peppermint tea,famotidine,Eat slowly and avoid fatty foods
"nausea, abdominal pain, swelling lips",Food Allergy,soothing oatmeal bath; cold compress,diphenhydramine,Eliminate the trigger food and read labels carefully
"urgency, nausea, abdominal cramps, dehydration",Diarrhea (Infectious),bland BRAT diet; oral rehydration salts,oral rehydration solution,Replace fluids and avoid dairy temporarily
"dry patches, itchy rash, cracked skin, redness",Eczema (Dermatitis),oatmeal bath,hydrocortisone cream,Moisturize frequently and avoid harsh soaps
"oily skin, inflammation, whiteheads, pimples, blackheads",Acne Vulgaris,aloe vera; tea tree oil,adapalene gel,Cleanse gently twice a day and avoid picking
"headache, dry cough, high fever, fatigue",Influenza (Flu),warm saltwater gargle,ibuprofen,Increase fluid intake; isolate to avoid spreading
"restlessness, excessive worry, muscle tension",Generalized Anxiety Disorder,lavender tea,buspirone,Practice relaxation techniques and set realistic goals
"nausea, spinning sensation, loss of balance",Vertigo (BPPV),Epley maneuver,betahistine,Perform vestibular exercises and move slowly
"sneezing, nasal congestion, mild fever, runny nose, sore throat",Common Cold,steam inhalation; honey‑lemon tea,ibuprofen,Rest well and stay hydrated
"fever, body aches, severe fatigue, sore throat",Mononucleosis,rest; salt‑water gargle,ibuprofen,Avoid contact sports to protect spleen
"difficulty falling asleep, frequent awakenings, daytime fatigue",Insomnia,chamomile tea,melatonin,Maintain consistent sleep schedule and limit screens
"nausea, right lower abdominal pain, loss of appetite",Appendicitis,N/A,metronidazole,Seek immediate surgical evaluation
"cold intolerance, dry skin, constipation, weight gain, fatigue",Hypothyroidism,regular exercise; selenium‑rich foods,levothyroxine,Take medication on empty stomach daily
"pelvic pain, frequent urge, low‑grade fever, burning urination",Urinary Tract Infection,increased water intake,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"headache, high fever, fatigue",Influenza (Flu),ginger tea,oseltamivir,Increase fluid intake; isolate to avoid spreading
"difficulty falling asleep, irritability, daytime fatigue",Insomnia,warm bath,melatonin,Maintain consistent sleep schedule and limit screens
"shortness of breath, fatigue, fever",COVID‑19,warm saline gargle; hydration,paracetamol,Self‑isolate and follow local health guidelines
"fatigue, frequent urination, increased thirst, blurred vision",Diabetes (Hyperglycemia),cinnamon water; fenugreek seeds,metformin,Monitor blood glucose and follow balanced diet
"fatigue, dry cough, body aches, chills, high fever, headache",Influenza (Flu),ginger tea; warm saltwater gargle,oseltamivir,Increase fluid intake; isolate to avoid spreading
"shortness of breath, loss of smell, dry cough, fatigue, fever",COVID‑19,hydration,paracetamol,Self‑isolate and follow local health guidelines
"hunger, sweating, rapid heartbeat, shakiness",Hypoglycemia,eat glucose tablets,glucose gel,Carry quick sugar and adjust insulin timing
"bloating, early satiety, upper abdominal discomfort, belching, nausea",Indigestion (Dyspepsia),peppermint tea,antacid chewables,Eat slowly and avoid fatty foods
"scaly plaques, red patches, itching",Psoriasis Flare,dead sea salt bath,topical corticosteroids,Keep skin moisturized and avoid triggers like stress
"fatigue, feelings of hopelessness, persistent sadness, loss of interest, sleep changes",Depression Episode,regular aerobic exercise; mindfulness meditation,sertraline,Maintain social connections and seek therapy
"low‑grade fever, nausea, loss of appetite",Appendicitis,N/A,metronidazole,Seek immediate surgical evaluation
"loss of appetite, low‑grade fever, nausea, right lower abdominal pain",Appendicitis,N/A,metronidazole,Seek immediate surgical evaluation
"fever, tender lymph nodes, swollen tonsils",Streptococcal Pharyngitis,honey tea,amoxicillin,Complete antibiotics and change toothbrush
"sharp leg pain, tingling down leg, burning sensation",Sciatica,ice pack; piriformis stretches,gabapentin,Avoid prolonged sitting; practice core exercises
"coughing, wheezing, chest tightness",Asthma Exacerbation,pursed‑lip breathing,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"dizziness, often asymptomatic, nosebleeds, blurred vision",Hypertension,garlic supplements,lisinopril,Reduce salt intake and exercise regularly
"swelling lips, nausea, hives, itchy throat",Food Allergy,soothing oatmeal bath; cold compress,epinephrine (EpiPen),Eliminate the trigger food and read labels carefully
"tenderness, tendon pain, swelling, reduced strength",Tendonitis,compression wrap,diclofenac gel,Avoid repetitive strain and do eccentric exercises
"red patches, dry skin, scaly plaques, itching",Psoriasis Flare,dead sea salt bath; sunlight exposure,topical corticosteroids,Keep skin moisturized and avoid triggers like stress
"loss of appetite, nausea, right lower abdominal pain",Appendicitis,N/A,metronidazole,Seek immediate surgical evaluation
"joint swelling, symmetrical pain, fatigue, morning stiffness",Rheumatoid Arthritis Flare,fish oil; turmeric milk,prednisone,Perform low‑impact exercises and rest inflamed joints
"pimples, whiteheads, inflammation, blackheads",Acne Vulgaris,aloe vera; tea tree oil,benzoyl peroxide,Cleanse gently twice a day and avoid picking
"tender lymph nodes, swollen tonsils, fever, white patches",Streptococcal Pharyngitis,warm saltwater gargle; honey tea,amoxicillin,Complete antibiotics and change toothbrush
"low‑grade fever, cloudy urine, pelvic pain, burning urination",Urinary Tract Infection,unsweetened cranberry juice,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"head movements worsen dizziness, nausea, spinning sensation",Vertigo (BPPV),ginger tea; Epley maneuver,meclizine,Perform vestibular exercises and move slowly
"fever, severe fatigue, swollen lymph nodes",Mononucleosis,salt‑water gargle; rest,acetaminophen,Avoid contact sports to protect spleen
"tearing, itching, red eye, discharge, gritty feeling",Conjunctivitis (Pink Eye),cold compress; saline eye rinse,chloramphenicol eye drops,Avoid touching eyes and wash hands frequently
"pain with movement, ankle swelling, bruising",Ankle Sprain,arnica gel,ibuprofen,Gradually restore range of motion and strength
"knee pain, crepitus, swelling",Osteoarthritis of Knee,hot‑cold therapy; glucosamine supplement,acetaminophen,Maintain healthy weight and strengthen quadriceps
"heat intolerance, weight loss, anxiety, palpitations",Hyperthyroidism,stress‑reduction techniques; bugleweed tea,methimazole,Avoid excess iodine and caffeine
"sudden lumbar pain, limited mobility, muscle stiffness",Acute Low Back Pain,gentle stretching,ibuprofen,Stay active with light movements; maintain posture
"shakiness, hunger, confusion, rapid heartbeat",Hypoglycemia,eat glucose tablets,glucose gel,Carry quick sugar and adjust insulin timing
"fatigue, cold hands, dizziness",Iron‑Deficiency Anemia,molasses drink; iron‑rich foods,iron infusion,Combine iron with vitamin C foods
"neck stiffness, dull head pain, pressure around forehead, scalp tenderness",Tension Headache,warm compress,naproxen,Maintain good posture and reduce screen time
"white patches, fever, swollen tonsils, sore throat, tender lymph nodes",Streptococcal Pharyngitis,warm saltwater gargle; honey tea,amoxicillin,Complete antibiotics and change toothbrush
"rapid pulse, profuse sweating, weakness, nausea",Heat Exhaustion,electrolyte drink,oral rehydration salts,Move to cooler place and rest
"chest pain, productive cough, high fever, shortness of breath",Pneumonia,warm liquids,amoxicillin‑clavulanate,Complete antibiotic course; monitor breathing
"thick nasal discharge, headache, facial pain, reduced smell",Sinusitis,steam inhalation; saline nasal spray,amoxicillin,Stay hydrated and apply warm compresses to sinuses
"throat pain, difficulty swallowing, swollen tonsils, fever",Tonsillitis,chamomile tea; cold smoothies,acetaminophen,Rest voice and stay hydrated
"coughing, shortness of breath, wheezing",Asthma Exacerbation,pursed‑lip breathing,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"tenderness, swelling, reduced strength",Tendonitis,rest and ice; compression wrap,naproxen,Avoid repetitive strain and do eccentric exercises
"low‑grade fever, cloudy urine, burning urination, frequent urge, pelvic pain",Urinary Tract Infection,increased water intake; unsweetened cranberry juice,trimethoprim‑sulfamethoxazole,Urinate frequently and avoid irritants like caffeine
"ear pain, irritability, muffled hearing",Otitis Media,warm compress,ibuprofen,Keep ears dry and elevate head during rest
"shortness of breath, wheezing, coughing",Asthma Exacerbation,pursed‑lip breathing,fluticasone inhaler,Use peak‑flow meter and avoid smoke exposure
"sore throat, swollen lymph nodes, body aches",Mononucleosis,salt‑water gargle,acetaminophen,Avoid contact sports to protect spleen
"loose stools, dehydration, nausea, urgency",Diarrhea (Infectious),bland BRAT diet; oral rehydration salts,oral rehydration solution,Replace fluids and avoid dairy temporarily
"knee pain, reduced range of motion, swelling, crepitus",Osteoarthritis of Knee,hot‑cold therapy,acetaminophen,Maintain healthy weight and strengthen quadriceps
"abdominal cramps, watery diarrhea, vomiting, nausea, dehydration",Gastroenteritis,oral rehydration solution,loperamide,Sip clear fluids and eat bland foods
"itching, scaly plaques, dry skin, red patches",Psoriasis Flare,dead sea salt bath; sunlight exposure,topical corticosteroids,Keep skin moisturized and avoid triggers like stress
"mild fever, cough, nasal congestion, sore throat, sneezing",Common Cold,steam inhalation; honey‑lemon tea,ibuprofen,Rest well and stay hydrated
"irritability, ear pain, muffled hearing, fever",Otitis Media,warm compress; warm olive‑oil drops,ibuprofen,Keep ears dry and elevate head during rest
"cloudy urine, frequent urge, burning urination",Urinary Tract Infection,increased water intake; unsweetened cranberry juice,nitrofurantoin,Urinate frequently and avoid irritants like caffeine
"palpitations, weight loss, tremor",Hyperthyroidism,bugleweed tea; stress‑reduction techniques,propranolol,Avoid excess iodine and caffeine
"severe headache, behind‑the‑eye pain, rash, high fever, joint pain",Dengue Fever,papaya leaf juice,acetaminophen,Avoid NSAIDs and monitor for warning signs
